,Date,Total
0,09/01/2017,332
1,09/02/2017,134
2,09/03/2017,83
3,09/04/2017,38
4,09/05/2017,265
5,09/06/2017,265
6,09/07/2017,291
7,09/08/2017,313
8,09/09/2017,124
9,09/10/2017,109
10,09/11/2017,286
11,09/12/2017,275
12,09/13/2017,264
13,09/14/2017,270
14,09/15/2017,295
15,09/16/2017,114
16,09/17/2017,98
17,09/18/2017,262
18,09/19/2017,326
19,09/20/2017,243
20,09/21/2017,268
21,09/22/2017,271
22,09/23/2017,146
23,09/24/2017,112
24,09/25/2017,285
25,09/26/2017,286
26,09/27/2017,234
27,09/28/2017,246
28,09/29/2017,297
29,09/30/2017,144
30,10/01/2017,94
31,10/02/2017,301
32,10/03/2017,334
33,10/04/2017,294
34,10/05/2017,244
35,10/06/2017,327
36,10/07/2017,121
37,10/08/2017,109
38,10/09/2017,250
39,10/10/2017,231
40,10/11/2017,293
41,10/12/2017,248
42,10/13/2017,276
43,10/14/2017,94
44,10/15/2017,118
45,10/16/2017,263
46,10/17/2017,321
47,10/18/2017,248
48,10/19/2017,245
49,10/20/2017,304
50,10/21/2017,128
51,10/22/2017,90
52,10/23/2017,271
53,10/24/2017,260
54,10/25/2017,255
55,10/26/2017,284
56,10/27/2017,257
57,10/28/2017,137
58,10/29/2017,90
59,10/30/2017,253
60,10/31/2017,263
61,11/01/2017,270
62,11/02/2017,262
63,11/03/2017,310
64,11/04/2017,131
65,11/05/2017,138
66,11/06/2017,262
67,11/07/2017,262
68,11/08/2017,227
69,11/09/2017,249
70,11/10/2017,262
71,11/11/2017,124
72,11/12/2017,75
73,11/13/2017,319
74,11/14/2017,271
75,11/15/2017,282
76,11/16/2017,260
77,11/17/2017,282
78,11/18/2017,116
79,11/19/2017,96
80,11/20/2017,322
81,11/21/2017,320
82,11/22/2017,346
83,11/24/2017,282
84,11/25/2017,151
85,11/26/2017,124
86,11/27/2017,294
87,11/28/2017,331
88,11/29/2017,307
89,11/30/2017,246
90,12/01/2017,373
91,12/02/2017,153
92,12/03/2017,137
93,12/04/2017,278
94,12/05/2017,271
95,12/06/2017,285
96,12/07/2017,316
97,12/08/2017,288
98,12/09/2017,191
99,12/10/2017,103
100,12/11/2017,231
101,12/12/2017,354
102,12/13/2017,268
103,12/14/2017,292
104,12/15/2017,297
105,12/16/2017,135
106,12/17/2017,119
107,12/18/2017,305
108,12/19/2017,364
109,12/20/2017,303
110,12/21/2017,300
111,12/22/2017,379
112,12/23/2017,168
113,12/24/2017,71
114,12/26/2017,266
115,12/27/2017,306
116,12/28/2017,321
117,12/29/2017,377
118,12/30/2017,244
119,12/31/2017,140
120,01/01/2018,66
121,01/02/2018,332
122,01/03/2018,304
123,01/04/2018,377
124,01/05/2018,332
125,01/06/2018,144
126,01/07/2018,105
127,01/08/2018,255
128,01/09/2018,301
129,01/10/2018,291
130,01/11/2018,188
131,01/12/2018,293
132,01/13/2018,170
133,01/14/2018,96
134,01/15/2018,222
135,01/16/2018,327
136,01/17/2018,294
137,01/18/2018,324
138,01/19/2018,348
139,01/20/2018,149
140,01/21/2018,137
141,01/22/2018,121
142,01/23/2018,239
143,01/24/2018,293
144,01/25/2018,266
145,01/26/2018,312
146,01/27/2018,198
147,01/28/2018,121
148,01/29/2018,276
149,01/30/2018,301
150,01/31/2018,241
151,02/01/2018,298
152,02/02/2018,331
153,02/03/2018,146
154,02/04/2018,104
155,02/05/2018,329
156,02/06/2018,254
157,02/07/2018,251
158,02/08/2018,281
159,02/09/2018,274
160,02/10/2018,108
161,02/11/2018,104
162,02/12/2018,284
163,02/13/2018,269
164,02/14/2018,235
165,02/15/2018,252
166,02/16/2018,334
167,02/17/2018,137
168,02/18/2018,141
169,02/19/2018,242
170,02/20/2018,254
171,02/21/2018,290
172,02/22/2018,297
173,02/23/2018,243
174,02/24/2018,141
175,02/25/2018,86
176,02/26/2018,285
177,02/27/2018,285
178,02/28/2018,317
179,03/01/2018,262
180,03/02/2018,281
181,03/03/2018,149
182,03/04/2018,125
183,03/05/2018,292
184,03/06/2018,282
185,03/07/2018,309
186,03/08/2018,290
187,03/09/2018,272
188,03/10/2018,125
189,03/11/2018,100
190,03/12/2018,253
191,03/13/2018,312
192,03/14/2018,295
193,03/15/2018,279
194,03/16/2018,271
195,03/17/2018,190
196,03/18/2018,99
197,03/19/2018,345
198,03/20/2018,301
199,03/21/2018,238
200,03/22/2018,279
201,03/23/2018,215
202,03/24/2018,179
203,03/25/2018,107
204,03/26/2018,257
205,03/27/2018,282
206,03/28/2018,257
207,03/29/2018,245
208,03/30/2018,338
209,03/31/2018,149
210,04/01/2018,47
211,04/02/2018,293
212,04/03/2018,215
213,04/04/2018,251
214,04/05/2018,328
215,04/06/2018,319
216,04/07/2018,115
217,04/08/2018,121
218,04/09/2018,315
219,04/10/2018,276
220,04/11/2018,267
221,04/12/2018,264
222,04/13/2018,356
223,04/14/2018,115
224,04/15/2018,42
225,04/16/2018,283
226,04/17/2018,323
227,04/18/2018,268
228,04/19/2018,296
229,04/20/2018,266
230,04/21/2018,154
231,04/22/2018,98
232,04/23/2018,248
233,04/24/2018,277
234,04/25/2018,317
235,04/26/2018,240
236,04/27/2018,287
237,04/28/2018,131
238,04/29/2018,120
239,04/30/2018,282
240,05/01/2018,307
241,05/02/2018,278
242,05/03/2018,264
243,05/04/2018,291
244,05/05/2018,108
245,05/06/2018,94
246,05/07/2018,270
247,05/08/2018,252
248,05/09/2018,297
249,05/10/2018,243
250,05/11/2018,262
251,05/12/2018,147
252,05/13/2018,75
253,05/14/2018,283
254,05/15/2018,234
255,05/16/2018,245
256,05/17/2018,270
257,05/18/2018,274
258,05/19/2018,164
259,05/20/2018,90
260,05/21/2018,290
261,05/22/2018,266
262,05/23/2018,243
263,05/24/2018,293
264,05/25/2018,240
265,05/26/2018,150
266,05/27/2018,114
267,05/28/2018,41
268,05/29/2018,275
269,05/30/2018,357
270,05/31/2018,279
271,06/01/2018,296
272,06/02/2018,160
273,06/03/2018,89
274,06/04/2018,257
275,06/05/2018,314
276,06/06/2018,232
277,06/07/2018,258
278,06/08/2018,226
279,06/09/2018,189
280,06/10/2018,109
281,06/11/2018,296
282,06/12/2018,307
283,06/13/2018,245
284,06/14/2018,292
285,06/15/2018,313
286,06/16/2018,137
287,06/17/2018,68
288,06/18/2018,312
289,06/19/2018,264
290,06/20/2018,211
291,06/21/2018,271
292,06/22/2018,283
293,06/23/2018,149
294,06/24/2018,88
295,06/25/2018,282
296,06/26/2018,261
297,06/27/2018,259
298,06/28/2018,270
299,06/29/2018,319
300,06/30/2018,108
301,07/01/2018,99
302,07/02/2018,269
303,07/03/2018,337
304,07/04/2018,39
305,07/05/2018,254
306,07/06/2018,271
307,07/07/2018,126
308,07/08/2018,117
309,07/09/2018,321
310,07/10/2018,272
311,07/11/2018,300
312,07/12/2018,234
313,07/13/2018,271
314,07/14/2018,132
315,07/15/2018,98
316,07/16/2018,295
317,07/17/2018,290
318,07/18/2018,235
