,Date,Total
0,01/02/2009,586
1,01/03/2009,166
2,01/04/2009,134
3,01/05/2009,517
4,01/06/2009,401
5,01/07/2009,415
6,01/08/2009,382
7,01/09/2009,363
8,01/10/2009,153
9,01/11/2009,130
10,01/12/2009,490
11,01/13/2009,332
12,01/14/2009,424
13,01/15/2009,323
14,01/16/2009,372
15,01/17/2009,164
16,01/18/2009,132
17,01/19/2009,494
18,01/20/2009,421
19,01/21/2009,325
20,01/22/2009,311
21,01/23/2009,344
22,01/24/2009,146
23,01/25/2009,132
24,01/26/2009,501
25,01/27/2009,395
26,01/28/2009,391
27,01/29/2009,365
28,01/30/2009,403
29,01/31/2009,167
30,02/01/2009,185
31,02/02/2009,468
32,02/03/2009,355
33,02/04/2009,340
34,02/05/2009,391
35,02/06/2009,372
36,02/07/2009,158
37,02/08/2009,147
38,02/09/2009,532
39,02/10/2009,312
40,02/11/2009,373
41,02/12/2009,385
42,02/13/2009,408
43,02/14/2009,149
44,02/15/2009,157
45,02/16/2009,478
46,02/17/2009,316
47,02/18/2009,396
48,02/19/2009,359
49,02/20/2009,386
50,02/21/2009,189
51,02/22/2009,170
52,02/23/2009,435
53,02/24/2009,362
54,02/25/2009,371
55,02/26/2009,387
56,02/27/2009,376
57,02/28/2009,200
58,03/01/2009,159
59,03/02/2009,529
60,03/03/2009,380
61,03/04/2009,370
62,03/05/2009,368
63,03/06/2009,403
64,03/07/2009,168
65,03/08/2009,154
66,03/09/2009,518
67,03/10/2009,399
68,03/11/2009,342
69,03/12/2009,385
70,03/13/2009,424
71,03/14/2009,181
72,03/15/2009,159
73,03/16/2009,442
74,03/17/2009,363
75,03/18/2009,356
76,03/19/2009,314
77,03/20/2009,355
78,03/21/2009,147
79,03/22/2009,154
80,03/23/2009,432
81,03/24/2009,396
82,03/25/2009,380
83,03/26/2009,399
84,03/27/2009,359
85,03/28/2009,200
86,03/29/2009,143
87,03/30/2009,480
88,03/31/2009,325
89,04/01/2009,404
90,04/02/2009,384
91,04/03/2009,390
92,04/04/2009,176
93,04/05/2009,183
94,04/06/2009,445
95,04/07/2009,404
96,04/08/2009,412
97,04/09/2009,365
98,04/10/2009,419
99,04/11/2009,147
100,04/13/2009,590
101,04/14/2009,393
102,04/15/2009,369
103,04/16/2009,342
104,04/17/2009,369
105,04/18/2009,122
106,04/19/2009,123
107,04/20/2009,489
108,04/21/2009,397
109,04/22/2009,332
110,04/23/2009,332
111,04/24/2009,406
112,04/25/2009,154
113,04/26/2009,125
114,04/27/2009,538
115,04/28/2009,391
116,04/29/2009,406
117,04/30/2009,430
118,05/01/2009,397
119,05/02/2009,129
120,05/03/2009,135
121,05/04/2009,491
122,05/05/2009,373
123,05/06/2009,359
124,05/07/2009,394
125,05/08/2009,372
126,05/09/2009,173
127,05/10/2009,143
128,05/11/2009,461
129,05/12/2009,408
130,05/13/2009,372
131,05/14/2009,309
132,05/15/2009,370
133,05/16/2009,148
134,05/17/2009,130
135,05/18/2009,485
136,05/19/2009,412
137,05/20/2009,374
138,05/21/2009,393
139,05/22/2009,404
140,05/23/2009,151
141,05/24/2009,126
142,05/25/2009,151
143,05/26/2009,493
144,05/27/2009,471
145,05/28/2009,420
146,05/29/2009,373
147,05/30/2009,156
148,05/31/2009,155
149,06/01/2009,524
150,06/02/2009,391
151,06/03/2009,356
152,06/04/2009,394
153,06/05/2009,291
154,06/06/2009,147
155,06/07/2009,111
156,06/08/2009,457
157,06/09/2009,394
158,06/10/2009,316
159,06/11/2009,395
160,06/12/2009,395
161,06/13/2009,117
162,06/14/2009,141
163,06/15/2009,438
164,06/16/2009,377
165,06/17/2009,378
166,06/18/2009,335
167,06/19/2009,299
168,06/20/2009,157
169,06/21/2009,123
170,06/22/2009,503
171,06/23/2009,393
172,06/24/2009,343
173,06/25/2009,354
174,06/26/2009,374
175,06/27/2009,162
176,06/28/2009,115
177,06/29/2009,483
178,06/30/2009,424
179,07/01/2009,329
180,07/02/2009,373
181,07/03/2009,317
182,07/04/2009,86
183,07/05/2009,130
184,07/06/2009,508
185,07/07/2009,373
186,07/08/2009,371
187,07/09/2009,312
188,07/10/2009,409
189,07/11/2009,93
190,07/12/2009,120
191,07/13/2009,456
192,07/14/2009,369
193,07/15/2009,335
194,07/16/2009,355
195,07/17/2009,348
196,07/18/2009,137
197,07/19/2009,149
198,07/20/2009,446
199,07/21/2009,332
200,07/22/2009,341
201,07/23/2009,316
202,07/24/2009,360
203,07/25/2009,153
204,07/26/2009,110
205,07/27/2009,518
206,07/28/2009,379
207,07/29/2009,400
208,07/30/2009,353
209,07/31/2009,374
210,08/01/2009,172
211,08/02/2009,125
212,08/03/2009,412
213,08/04/2009,337
214,08/05/2009,352
215,08/06/2009,319
216,08/07/2009,379
217,08/08/2009,135
218,08/09/2009,148
219,08/10/2009,450
220,08/11/2009,374
221,08/12/2009,341
222,08/13/2009,283
223,08/14/2009,346
224,08/15/2009,137
225,08/16/2009,151
226,08/17/2009,471
227,08/18/2009,315
228,08/19/2009,370
229,08/20/2009,293
230,08/21/2009,338
231,08/22/2009,112
232,08/23/2009,129
233,08/24/2009,486
234,08/25/2009,417
235,08/26/2009,335
236,08/27/2009,394
237,08/28/2009,409
238,08/29/2009,188
239,08/30/2009,151
240,08/31/2009,439
241,09/01/2009,357
242,09/02/2009,360
243,09/03/2009,353
244,09/04/2009,423
245,09/05/2009,142
246,09/06/2009,118
247,09/07/2009,138
248,09/08/2009,431
249,09/09/2009,380
250,09/10/2009,382
251,09/11/2009,396
252,09/12/2009,142
253,09/13/2009,145
254,09/14/2009,444
255,09/15/2009,385
256,09/16/2009,369
257,09/17/2009,331
258,09/18/2009,373
259,09/19/2009,115
260,09/20/2009,180
261,09/21/2009,397
262,09/22/2009,353
263,09/23/2009,350
264,09/24/2009,381
265,09/25/2009,369
266,09/26/2009,162
