,Date,Total
0,09/01/2017,330
1,09/02/2017,74
2,09/05/2017,230
3,09/06/2017,234
4,09/07/2017,219
5,09/08/2017,261
6,09/09/2017,56
7,09/11/2017,232
8,09/12/2017,266
9,09/13/2017,238
10,09/14/2017,215
11,09/15/2017,249
12,09/16/2017,37
13,09/18/2017,188
14,09/19/2017,218
15,09/20/2017,211
16,09/21/2017,215
17,09/22/2017,247
18,09/23/2017,67
19,09/25/2017,208
20,09/26/2017,234
21,09/27/2017,209
22,09/28/2017,237
23,09/29/2017,281
24,09/30/2017,49
25,10/02/2017,234
26,10/03/2017,221
27,10/04/2017,235
28,10/05/2017,192
29,10/06/2017,318
30,10/07/2017,66
31,10/09/2017,244
32,10/10/2017,189
33,10/11/2017,225
34,10/12/2017,253
35,10/13/2017,238
36,10/14/2017,49
37,10/16/2017,247
38,10/17/2017,228
39,10/18/2017,228
40,10/19/2017,238
41,10/20/2017,295
42,10/21/2017,35
43,10/23/2017,226
44,10/24/2017,261
45,10/25/2017,225
46,10/26/2017,204
47,10/27/2017,209
48,10/28/2017,69
49,10/30/2017,226
50,10/31/2017,219
51,11/01/2017,226
52,11/02/2017,215
53,11/03/2017,235
54,11/04/2017,68
55,11/06/2017,234
56,11/07/2017,245
57,11/08/2017,188
58,11/09/2017,219
59,11/10/2017,296
60,11/11/2017,76
61,11/13/2017,219
62,11/14/2017,222
63,11/15/2017,182
64,11/16/2017,198
65,11/17/2017,304
66,11/18/2017,44
67,11/20/2017,227
68,11/21/2017,269
69,11/22/2017,307
70,11/24/2017,211
71,11/25/2017,60
72,11/27/2017,223
73,11/28/2017,213
74,11/29/2017,263
75,11/30/2017,246
76,12/01/2017,438
77,12/02/2017,135
78,12/04/2017,308
79,12/05/2017,348
80,12/06/2017,363
81,12/07/2017,285
82,12/08/2017,368
83,12/09/2017,89
84,12/11/2017,280
85,12/12/2017,298
86,12/13/2017,320
87,12/14/2017,352
88,12/15/2017,382
89,12/16/2017,95
90,12/18/2017,350
91,12/19/2017,341
92,12/20/2017,295
93,12/21/2017,341
94,12/22/2017,399
95,12/23/2017,110
96,12/26/2017,273
97,12/27/2017,358
98,12/28/2017,331
99,12/29/2017,475
100,12/30/2017,135
101,01/02/2018,404
102,01/03/2018,366
103,01/04/2018,364
104,01/05/2018,390
105,01/06/2018,99
106,01/08/2018,322
107,01/09/2018,325
108,01/10/2018,330
109,01/11/2018,297
110,01/12/2018,365
111,01/13/2018,74
112,01/15/2018,273
113,01/16/2018,328
114,01/17/2018,315
115,01/18/2018,330
116,01/19/2018,408
117,01/20/2018,121
118,01/22/2018,218
119,01/23/2018,216
120,01/24/2018,345
121,01/25/2018,358
122,01/26/2018,366
123,01/27/2018,106
124,01/29/2018,291
125,01/30/2018,357
126,01/31/2018,270
127,02/01/2018,361
128,02/02/2018,405
129,02/03/2018,117
130,02/05/2018,293
131,02/06/2018,374
132,02/07/2018,283
133,02/08/2018,322
134,02/09/2018,361
135,02/10/2018,88
136,02/12/2018,315
137,02/13/2018,321
138,02/14/2018,264
139,02/15/2018,292
140,02/16/2018,375
141,02/17/2018,76
142,02/19/2018,288
143,02/20/2018,316
144,02/21/2018,374
145,02/22/2018,360
146,02/23/2018,263
147,02/24/2018,98
148,02/26/2018,297
149,02/27/2018,319
150,02/28/2018,341
151,03/01/2018,357
152,03/02/2018,420
153,03/03/2018,104
154,03/05/2018,317
155,03/06/2018,304
156,03/07/2018,317
157,03/08/2018,327
158,03/09/2018,384
159,03/10/2018,98
160,03/12/2018,310
161,03/13/2018,283
162,03/14/2018,253
163,03/15/2018,276
164,03/16/2018,370
165,03/17/2018,53
166,03/19/2018,308
167,03/20/2018,297
168,03/21/2018,254
169,03/22/2018,292
170,03/23/2018,351
171,03/24/2018,90
172,03/26/2018,304
173,03/27/2018,331
174,03/28/2018,252
175,03/29/2018,279
176,03/30/2018,348
177,03/31/2018,98
178,04/02/2018,335
179,04/03/2018,301
180,04/04/2018,341
181,04/05/2018,373
182,04/06/2018,359
183,04/07/2018,105
184,04/09/2018,289
185,04/10/2018,329
186,04/11/2018,314
187,04/12/2018,314
188,04/13/2018,339
189,04/14/2018,51
190,04/16/2018,363
191,04/17/2018,303
192,04/18/2018,247
193,04/19/2018,287
194,04/20/2018,315
195,04/21/2018,74
196,04/23/2018,348
197,04/24/2018,324
198,04/25/2018,321
199,04/26/2018,260
200,04/27/2018,312
201,04/28/2018,146
202,04/30/2018,267
203,05/01/2018,390
204,05/02/2018,301
205,05/03/2018,321
206,05/04/2018,318
207,05/05/2018,88
208,05/07/2018,277
209,05/08/2018,322
210,05/09/2018,326
211,05/10/2018,313
212,05/11/2018,362
213,05/12/2018,95
214,05/14/2018,317
215,05/15/2018,294
216,05/16/2018,308
217,05/17/2018,271
218,05/18/2018,278
219,05/19/2018,78
220,05/21/2018,295
221,05/22/2018,320
222,05/23/2018,335
223,05/24/2018,320
224,05/25/2018,358
225,05/26/2018,127
226,05/28/2018,1
227,05/29/2018,330
228,05/30/2018,285
229,05/31/2018,339
230,06/01/2018,421
231,06/02/2018,98
232,06/04/2018,388
233,06/05/2018,320
234,06/06/2018,238
235,06/07/2018,414
236,06/08/2018,367
237,06/09/2018,88
238,06/11/2018,334
239,06/12/2018,311
240,06/13/2018,317
241,06/14/2018,254
242,06/15/2018,327
243,06/16/2018,65
244,06/18/2018,293
245,06/19/2018,284
246,06/20/2018,273
247,06/21/2018,299
248,06/22/2018,308
249,06/23/2018,60
250,06/25/2018,342
251,06/26/2018,349
252,06/27/2018,301
253,06/28/2018,341
254,06/29/2018,396
255,06/30/2018,95
256,07/02/2018,277
257,07/03/2018,513
258,07/05/2018,338
259,07/06/2018,359
260,07/07/2018,101
261,07/09/2018,336
262,07/10/2018,326
263,07/11/2018,306
264,07/12/2018,324
265,07/13/2018,307
266,07/14/2018,85
267,07/16/2018,287
268,07/17/2018,326
269,07/18/2018,299
