,Date,Total
0,01/02/2009,452
1,01/03/2009,74
2,01/05/2009,571
3,01/06/2009,335
4,01/07/2009,377
5,01/08/2009,410
6,01/09/2009,277
7,01/10/2009,56
8,01/12/2009,395
9,01/13/2009,263
10,01/14/2009,333
11,01/15/2009,299
12,01/16/2009,388
13,01/17/2009,29
14,01/19/2009,456
15,01/20/2009,287
16,01/21/2009,330
17,01/22/2009,383
18,01/23/2009,386
19,01/24/2009,42
20,01/26/2009,396
21,01/27/2009,310
22,01/28/2009,301
23,01/29/2009,396
24,01/30/2009,327
25,01/31/2009,60
26,02/02/2009,444
27,02/03/2009,326
28,02/04/2009,337
29,02/05/2009,378
30,02/06/2009,338
31,02/07/2009,52
32,02/09/2009,403
33,02/10/2009,314
34,02/11/2009,345
35,02/12/2009,364
36,02/13/2009,347
37,02/14/2009,47
38,02/16/2009,404
39,02/17/2009,289
40,02/18/2009,289
41,02/19/2009,336
42,02/20/2009,332
43,02/21/2009,39
44,02/23/2009,417
45,02/24/2009,311
46,02/25/2009,359
47,02/26/2009,368
48,02/27/2009,341
49,02/28/2009,43
50,03/02/2009,456
51,03/03/2009,380
52,03/04/2009,339
53,03/05/2009,379
54,03/06/2009,393
55,03/07/2009,55
56,03/09/2009,436
57,03/10/2009,307
58,03/11/2009,280
59,03/12/2009,298
60,03/13/2009,318
61,03/14/2009,51
62,03/16/2009,375
63,03/17/2009,243
64,03/18/2009,323
65,03/19/2009,302
66,03/20/2009,351
67,03/21/2009,54
68,03/23/2009,409
69,03/24/2009,286
70,03/25/2009,342
71,03/26/2009,341
72,03/27/2009,296
73,03/28/2009,56
74,03/30/2009,459
75,03/31/2009,318
76,04/01/2009,361
77,04/02/2009,352
78,04/03/2009,338
79,04/04/2009,50
80,04/06/2009,440
81,04/07/2009,314
82,04/08/2009,315
83,04/09/2009,323
84,04/10/2009,331
85,04/11/2009,22
86,04/13/2009,408
87,04/14/2009,301
88,04/15/2009,302
89,04/16/2009,332
90,04/17/2009,315
91,04/18/2009,37
92,04/20/2009,415
93,04/21/2009,291
94,04/22/2009,322
95,04/23/2009,280
96,04/24/2009,302
97,04/25/2009,47
98,04/27/2009,479
99,04/28/2009,351
100,04/29/2009,366
101,04/30/2009,361
102,05/01/2009,300
103,05/02/2009,54
104,05/04/2009,421
105,05/05/2009,346
106,05/06/2009,360
107,05/07/2009,331
108,05/08/2009,335
109,05/09/2009,51
110,05/11/2009,470
111,05/12/2009,298
112,05/13/2009,297
113,05/14/2009,285
114,05/15/2009,349
115,05/16/2009,40
116,05/18/2009,466
117,05/19/2009,353
118,05/20/2009,335
119,05/21/2009,351
120,05/22/2009,312
121,05/23/2009,51
122,05/26/2009,510
123,05/27/2009,382
124,05/28/2009,445
125,05/29/2009,365
126,05/30/2009,37
127,06/01/2009,466
128,06/02/2009,353
129,06/03/2009,331
130,06/04/2009,349
131,06/05/2009,296
132,06/06/2009,57
133,06/08/2009,447
134,06/09/2009,326
135,06/10/2009,297
136,06/11/2009,283
137,06/12/2009,312
138,06/13/2009,49
139,06/15/2009,373
140,06/16/2009,329
141,06/17/2009,318
142,06/18/2009,341
143,06/19/2009,334
144,06/20/2009,46
145,06/22/2009,423
146,06/23/2009,354
147,06/24/2009,312
148,06/25/2009,291
149,06/26/2009,288
150,06/27/2009,62
151,06/29/2009,491
152,06/30/2009,373
153,07/01/2009,342
154,07/02/2009,373
155,07/03/2009,346
156,07/06/2009,489
157,07/07/2009,358
158,07/08/2009,359
159,07/09/2009,302
160,07/10/2009,392
161,07/11/2009,45
162,07/13/2009,383
163,07/14/2009,311
164,07/15/2009,282
165,07/16/2009,334
166,07/17/2009,292
167,07/18/2009,76
168,07/20/2009,391
169,07/21/2009,348
170,07/22/2009,326
171,07/23/2009,305
172,07/24/2009,300
173,07/25/2009,47
174,07/27/2009,415
175,07/28/2009,374
176,07/29/2009,321
177,07/30/2009,320
178,07/31/2009,347
179,08/01/2009,52
180,08/03/2009,453
181,08/04/2009,305
182,08/05/2009,341
183,08/06/2009,383
184,08/07/2009,318
185,08/08/2009,53
186,08/10/2009,425
187,08/11/2009,314
188,08/12/2009,340
189,08/13/2009,316
190,08/14/2009,328
191,08/15/2009,44
192,08/17/2009,379
193,08/18/2009,338
194,08/19/2009,346
195,08/20/2009,381
196,08/21/2009,339
197,08/22/2009,45
198,08/24/2009,488
199,08/25/2009,289
200,08/26/2009,321
201,08/27/2009,342
202,08/28/2009,332
203,08/29/2009,48
204,08/31/2009,440
205,09/01/2009,374
206,09/02/2009,344
207,09/03/2009,399
208,09/04/2009,374
209,09/05/2009,73
210,09/08/2009,514
211,09/09/2009,356
212,09/10/2009,398
213,09/11/2009,351
214,09/12/2009,49
215,09/14/2009,487
216,09/15/2009,350
217,09/16/2009,292
218,09/17/2009,384
219,09/18/2009,294
220,09/19/2009,46
221,09/21/2009,422
222,09/22/2009,327
223,09/23/2009,331
224,09/24/2009,306
225,09/25/2009,367
226,09/26/2009,52
227,09/28/2009,449
228,09/29/2009,346
229,09/30/2009,333
230,10/01/2009,428
231,10/02/2009,353
232,10/03/2009,44
233,10/05/2009,461
234,10/06/2009,353
235,10/07/2009,310
236,10/08/2009,343
237,10/09/2009,290
238,10/10/2009,56
239,10/11/2009,3
240,10/12/2009,473
241,10/13/2009,301
242,10/14/2009,322
243,10/15/2009,348
244,10/16/2009,304
245,10/17/2009,39
246,10/19/2009,514
247,10/20/2009,321
248,10/21/2009,319
249,10/22/2009,303
250,10/23/2009,304
251,10/24/2009,46
252,10/26/2009,405
253,10/27/2009,327
254,10/28/2009,364
255,10/29/2009,341
256,10/30/2009,352
257,10/31/2009,41
258,11/02/2009,470
259,11/03/2009,325
260,11/04/2009,363
261,11/05/2009,358
262,11/06/2009,380
263,11/07/2009,61
264,11/09/2009,431
265,11/10/2009,319
266,11/11/2009,351
267,11/12/2009,358
268,11/13/2009,360
269,11/14/2009,61
270,11/16/2009,436
271,11/17/2009,389
272,11/18/2009,308
273,11/19/2009,354
274,11/20/2009,328
275,11/21/2009,39
276,11/23/2009,490
277,11/24/2009,344
278,11/25/2009,327
279,11/27/2009,276
280,11/28/2009,60
281,11/30/2009,527
282,12/01/2009,344
283,12/02/2009,359
284,12/03/2009,338
285,12/04/2009,391
286,12/05/2009,61
287,12/07/2009,499
288,12/08/2009,371
289,12/09/2009,273
290,12/10/2009,403
291,12/11/2009,369
292,12/12/2009,45
293,12/14/2009,458
294,12/15/2009,362
295,12/16/2009,405
296,12/17/2009,338
297,12/18/2009,381
298,12/19/2009,41
299,12/20/2009,2
300,12/21/2009,531
301,12/22/2009,390
302,12/23/2009,400
303,12/24/2009,106
304,12/26/2009,76
305,12/28/2009,513
306,12/29/2009,418
307,12/30/2009,431
308,12/31/2009,307
309,01/02/2010,124
310,01/04/2010,502
311,01/05/2010,352
312,01/06/2010,377
313,01/07/2010,372
314,01/08/2010,332
315,01/09/2010,54
316,01/11/2010,514
317,01/12/2010,395
318,01/13/2010,361
319,01/14/2010,302
320,01/15/2010,349
321,01/16/2010,55
322,01/18/2010,448
323,01/19/2010,319
324,01/20/2010,342
325,01/21/2010,327
326,01/22/2010,287
327,01/23/2010,41
328,01/25/2010,482
329,01/26/2010,313
330,01/27/2010,374
331,01/28/2010,341
332,01/29/2010,344
333,01/30/2010,48
334,02/01/2010,457
335,02/02/2010,353
336,02/03/2010,320
337,02/04/2010,324
338,02/05/2010,310
