,Date,Total
0,09/01/2017,155
1,09/02/2017,75
2,09/05/2017,169
3,09/06/2017,133
4,09/07/2017,114
5,09/08/2017,159
6,09/09/2017,53
7,09/11/2017,147
8,09/12/2017,153
9,09/13/2017,133
10,09/14/2017,160
11,09/15/2017,160
12,09/16/2017,69
13,09/18/2017,129
14,09/19/2017,84
15,09/20/2017,83
16,09/21/2017,89
17,09/22/2017,177
18,09/23/2017,61
19,09/25/2017,126
20,09/26/2017,106
21,09/27/2017,141
22,09/28/2017,141
23,09/29/2017,155
24,09/30/2017,56
25,10/02/2017,168
26,10/03/2017,89
27,10/04/2017,99
28,10/05/2017,167
29,10/06/2017,163
30,10/07/2017,44
31,10/09/2017,136
32,10/10/2017,144
33,10/11/2017,111
34,10/12/2017,137
35,10/13/2017,155
36,10/14/2017,78
37,10/16/2017,123
38,10/17/2017,137
39,10/18/2017,131
40,10/19/2017,140
41,10/20/2017,109
42,10/21/2017,33
43,10/23/2017,137
44,10/24/2017,133
45,10/25/2017,98
46,10/26/2017,98
47,10/27/2017,174
48,10/28/2017,76
49,10/30/2017,139
50,10/31/2017,114
51,11/01/2017,93
52,11/02/2017,103
53,11/03/2017,162
54,11/04/2017,53
55,11/06/2017,140
56,11/07/2017,136
57,11/08/2017,129
58,11/09/2017,130
59,11/10/2017,164
60,11/11/2017,73
61,11/13/2017,156
62,11/14/2017,142
63,11/15/2017,116
64,11/16/2017,99
65,11/17/2017,127
66,11/18/2017,52
67,11/20/2017,148
68,11/21/2017,115
69,11/22/2017,158
70,11/24/2017,135
71,11/25/2017,57
72,11/27/2017,152
73,11/28/2017,121
74,11/29/2017,138
75,11/30/2017,111
76,12/01/2017,166
77,12/02/2017,76
78,12/04/2017,137
79,12/05/2017,108
80,12/06/2017,112
81,12/07/2017,217
82,12/08/2017,138
83,12/09/2017,58
84,12/11/2017,125
85,12/12/2017,124
86,12/13/2017,122
87,12/14/2017,132
88,12/15/2017,136
89,12/16/2017,41
90,12/18/2017,191
91,12/19/2017,126
92,12/20/2017,157
93,12/21/2017,132
94,12/22/2017,147
95,12/23/2017,62
96,12/26/2017,119
97,12/27/2017,144
98,12/28/2017,110
99,12/29/2017,145
100,12/30/2017,92
101,01/02/2018,170
102,01/03/2018,119
103,01/04/2018,143
104,01/05/2018,150
105,01/06/2018,70
106,01/08/2018,122
107,01/09/2018,140
108,01/10/2018,115
109,01/11/2018,101
110,01/12/2018,135
111,01/13/2018,70
112,01/15/2018,113
113,01/16/2018,157
114,01/17/2018,123
115,01/18/2018,171
116,01/19/2018,181
117,01/20/2018,43
118,01/22/2018,46
119,01/23/2018,113
120,01/24/2018,123
121,01/25/2018,94
122,01/26/2018,143
123,01/27/2018,75
124,01/29/2018,92
125,01/30/2018,120
126,01/31/2018,110
127,02/01/2018,108
128,02/02/2018,186
129,02/03/2018,70
130,02/05/2018,151
131,02/06/2018,111
132,02/07/2018,129
133,02/08/2018,127
134,02/09/2018,182
135,02/10/2018,46
136,02/12/2018,142
137,02/13/2018,82
138,02/14/2018,113
139,02/15/2018,107
140,02/16/2018,174
141,02/17/2018,70
142,02/19/2018,107
143,02/20/2018,93
144,02/21/2018,164
145,02/22/2018,130
146,02/23/2018,121
147,02/24/2018,39
148,02/26/2018,132
149,02/27/2018,132
150,02/28/2018,112
151,03/01/2018,150
152,03/02/2018,134
153,03/03/2018,61
154,03/05/2018,126
155,03/06/2018,128
156,03/07/2018,124
157,03/08/2018,171
158,03/09/2018,117
159,03/10/2018,45
160,03/12/2018,160
161,03/13/2018,150
162,03/14/2018,110
163,03/15/2018,127
164,03/16/2018,138
165,03/17/2018,81
166,03/19/2018,174
167,03/20/2018,95
168,03/21/2018,132
169,03/22/2018,103
170,03/23/2018,113
171,03/24/2018,44
172,03/26/2018,120
173,03/27/2018,148
174,03/28/2018,129
175,03/29/2018,112
176,03/30/2018,119
177,03/31/2018,38
178,04/02/2018,171
179,04/03/2018,53
180,04/04/2018,118
181,04/05/2018,155
182,04/06/2018,154
183,04/07/2018,71
184,04/09/2018,136
185,04/10/2018,93
186,04/11/2018,143
187,04/12/2018,89
188,04/13/2018,142
189,04/14/2018,42
190,04/16/2018,127
191,04/17/2018,128
192,04/18/2018,170
193,04/19/2018,83
194,04/20/2018,139
195,04/21/2018,56
196,04/23/2018,175
197,04/24/2018,80
198,04/25/2018,123
199,04/26/2018,129
200,04/27/2018,151
201,04/28/2018,62
202,04/30/2018,100
203,05/01/2018,113
204,05/02/2018,138
205,05/03/2018,96
206,05/04/2018,190
207,05/05/2018,52
208,05/07/2018,159
209,05/08/2018,100
210,05/09/2018,113
211,05/10/2018,107
212,05/11/2018,128
213,05/12/2018,42
214,05/14/2018,123
215,05/15/2018,108
216,05/16/2018,121
217,05/17/2018,94
218,05/18/2018,152
219,05/19/2018,44
220,05/21/2018,122
221,05/22/2018,158
222,05/23/2018,138
223,05/24/2018,123
224,05/25/2018,148
225,05/26/2018,69
226,05/29/2018,157
227,05/30/2018,122
228,05/31/2018,108
229,06/01/2018,194
230,06/02/2018,53
231,06/04/2018,157
232,06/05/2018,90
233,06/06/2018,97
234,06/07/2018,94
235,06/08/2018,156
236,06/09/2018,68
237,06/11/2018,111
238,06/12/2018,109
239,06/13/2018,125
240,06/14/2018,111
241,06/15/2018,151
242,06/16/2018,61
243,06/18/2018,107
244,06/19/2018,154
245,06/20/2018,111
246,06/21/2018,90
247,06/22/2018,144
248,06/23/2018,49
249,06/25/2018,122
250,06/26/2018,98
251,06/27/2018,125
252,06/28/2018,146
253,06/29/2018,154
254,06/30/2018,27
255,07/02/2018,143
256,07/03/2018,190
257,07/05/2018,159
258,07/06/2018,136
259,07/07/2018,73
260,07/09/2018,127
261,07/10/2018,96
262,07/11/2018,109
263,07/12/2018,94
264,07/13/2018,159
265,07/14/2018,52
266,07/16/2018,148
267,07/17/2018,108
268,07/18/2018,119
